timestep,time_sec,vehicle_id,sensor_type,total_sensor_tracks,confirmed_sensor_tracks,fused_tracks_vehicle
0,0.0,0,camera,4,0,0
0,0.0,0,radar,4,0,0
0,0.0,0,lidar,4,0,0
0,0.0,1,camera,4,0,0
0,0.0,1,radar,4,0,0
0,0.0,1,lidar,4,0,0
0,0.0,2,camera,4,0,0
0,0.0,2,radar,4,0,0
0,0.0,2,lidar,4,0,0
1,0.1,0,camera,4,4,1
1,0.1,0,radar,4,4,1
1,0.1,0,lidar,4,4,1
1,0.1,1,camera,4,4,1
1,0.1,1,radar,4,4,1
1,0.1,1,lidar,4,3,1
1,0.1,2,camera,4,4,1
1,0.1,2,radar,4,4,1
1,0.1,2,lidar,4,4,1
2,0.2,0,camera,4,4,1
2,0.2,0,radar,4,4,1
2,0.2,0,lidar,4,4,1
2,0.2,1,camera,5,3,2
2,0.2,1,radar,4,4,2
2,0.2,1,lidar,4,3,2
2,0.2,2,camera,4,4,1
2,0.2,2,radar,4,4,1
2,0.2,2,lidar,4,4,1
3,0.30000000000000004,0,camera,4,4,2
3,0.30000000000000004,0,radar,4,4,2
3,0.30000000000000004,0,lidar,4,4,2
3,0.30000000000000004,1,camera,5,4,2
3,0.30000000000000004,1,radar,4,4,2
3,0.30000000000000004,1,lidar,5,4,2
3,0.30000000000000004,2,camera,4,4,2
3,0.30000000000000004,2,radar,4,4,2
3,0.30000000000000004,2,lidar,6,4,2
4,0.4,0,camera,4,4,3
4,0.4,0,radar,5,4,3
4,0.4,0,lidar,5,4,3
4,0.4,1,camera,5,4,1
4,0.4,1,radar,4,4,1
4,0.4,1,lidar,5,4,1
4,0.4,2,camera,4,4,2
4,0.4,2,radar,4,4,2
4,0.4,2,lidar,4,4,2
5,0.5,0,camera,4,4,3
5,0.5,0,radar,6,5,3
5,0.5,0,lidar,4,4,3
5,0.5,1,camera,5,5,2
5,0.5,1,radar,4,4,2
5,0.5,1,lidar,5,4,2
5,0.5,2,camera,4,4,2
5,0.5,2,radar,4,4,2
5,0.5,2,lidar,4,4,2
6,0.6000000000000001,0,camera,4,4,2
6,0.6000000000000001,0,radar,6,4,2
6,0.6000000000000001,0,lidar,4,4,2
6,0.6000000000000001,1,camera,5,5,2
6,0.6000000000000001,1,radar,4,4,2
6,0.6000000000000001,1,lidar,5,4,2
6,0.6000000000000001,2,camera,4,4,4
